repeat_id,pid,tid,process_role,process_name,thread_name,kernel_thread_comm,python_thread_name,first_global_step,last_global_step,unique_step_count,sample_rows,runnable_samples,active_samples,total_cpu_delta_ms,max_cpu_delta_ms_per_sample,involuntary_ctx_switch_delta_sum,voluntary_ctx_switch_delta_sum,common_wchan,locations,reason_flags,process_cmdline
0,1579437,1579437,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,17460.000000000073,90.00000000001762,59664,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP1
0,1579436,1579436,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,13909.999999999854,70.00000000000739,60893,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP0
0,1579430,1579430,vllm_engine_core,VLLM::EngineCore,VLLM::EngineCor,VLLM::EngineCor,,0,18,19,19,19,19,850.0000000000014,50.00000000000426,855,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::EngineCore
0,1579436,1579493,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,217,217,1,1,1,0,0.0,0.0,0,9,ep_poll,Decode[215],runnable_R,VLLM::Worker_TP0
0,1579437,1579464,vllm_worker_or_child,VLLM::Worker_TP1,pt_nccl_heartbt,pt_nccl_heartbt,,118,118,1,1,1,0,0.0,0.0,0,2,futex_wait_queue_me,Decode[116],runnable_R,VLLM::Worker_TP1
0,1579437,1579469,vllm_worker_or_child,VLLM::Worker_TP1,pt_nccl_watchdg,pt_nccl_watchdg,,147,147,1,1,1,0,0.0,0.0,0,1,futex_wait_queue_me,Decode[145],runnable_R,VLLM::Worker_TP1
0,1579437,1579507,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,230,230,1,1,1,0,0.0,0.0,0,9,ep_poll,Decode[228],runnable_R,VLLM::Worker_TP1
0,1579437,1579511,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,180,180,1,1,1,0,0.0,0.0,0,8,ep_poll,Decode[178],runnable_R,VLLM::Worker_TP1
0,1579437,1579514,vllm_worker_or_child,VLLM::Worker_TP1,pt_nccl_watchdg,pt_nccl_watchdg,,153,153,1,1,1,0,0.0,0.0,0,1,futex_wait_queue_me,Decode[151],runnable_R,VLLM::Worker_TP1
0,1579418,1579418,driver_main_process,python3,MainThread,python3,MainThread,0,256,257,257,0,257,5160.000000000004,50.00000000000071,1452,840,futex_wait_queue_me,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],cpu_delta_active;involuntary_ctx_switch,/home/dgkim/venv-vllm-0.11.2/bin/python3 /home/dgkim/project/vLLM/phase_worker.py --phase active
0,1579436,1579472,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,88,225,2,2,0,2,20.0,10.000000000000002,0,17,ep_poll,Decode[86]|Decode[223],cpu_delta_active,VLLM::Worker_TP0
0,1579436,1579505,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,48,136,2,2,0,2,20.0,10.0,0,17,ep_poll,Decode[46]|Decode[134],cpu_delta_active,VLLM::Worker_TP0
0,1579430,1579598,vllm_engine_core,VLLM::EngineCore,VLLM::EngineCor,VLLM::EngineCor,,9,9,1,1,0,1,10.0,10.0,0,18,futex_wait_queue_me,Decode[7],cpu_delta_active,VLLM::EngineCore
0,1579437,1579457,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::EngineCor,VLLM::EngineCor,,126,126,1,1,0,1,10.0,10.0,0,7,ep_poll,Decode[124],cpu_delta_active,VLLM::Worker_TP1
0,1579436,1579460,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::EngineCor,VLLM::EngineCor,,3,3,1,1,0,1,9.999999999999998,9.999999999999998,0,9,ep_poll,Decode[1],cpu_delta_active,VLLM::Worker_TP0
1,1579889,1579889,vllm_worker_or_child,VLLM::Worker_TP1,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,18520.000000000116,110.00000000001364,3854,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP1
1,1579888,1579888,vllm_worker_or_child,VLLM::Worker_TP0,VLLM::Worker_TP,VLLM::Worker_TP,,0,256,257,257,257,257,14669.99999999983,79.99999999999119,5345,0,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch,VLLM::Worker_TP0
1,1579882,1579882,vllm_engine_core,VLLM::EngineCore,VLLM::EngineCor,VLLM::EngineCor,,0,17,18,18,17,18,730.0000000000111,50.00000000000426,1050,1,0,Prefill|Decode[0]|Decode[1]|Decode[2]|Decode[3]|Decode[4]|Decode[5]|Decode[6]|Decode[7]|Decode[8]|Decode[9]|Decode[10],runnable_R;cpu_delta_active;involuntary_ctx_switch|cpu_delta_active;involuntary_ctx_switch,VLLM::EngineCore
